input_size_mb,dpu_cnt,tf_method,cpu_dpu_ms,dpu_cpu_ms
48,32,broadcast,0.3791,0.2252
48,33,serial,0.4457,1.8953
48,33,parallel,0.4437,1.7869
48,33,broadcast,0.3506,0.2053
48,34,serial,0.4406,2.1289
48,34,parallel,0.4497,1.7021
48,34,broadcast,0.3825,0.2091
48,35,serial,0.4511,2.1785
48,35,parallel,0.4651,1.9543
48,35,broadcast,0.4113,0.2356
48,36,serial,0.4865,1.8949
48,36,parallel,0.4551,2.2667
48,36,broadcast,0.4108,0.2441
48,37,serial,0.4782,1.992
48,37,parallel,0.4563,1.9238
48,37,broadcast,0.3756,0.1976
48,38,serial,0.4707,2.0739
48,38,parallel,0.4626,1.6877
48,38,broadcast,0.3792,0.2133
48,39,serial,0.5201,2.1134
48,39,parallel,0.4761,2.0039
48,39,broadcast,0.4061,0.2599
48,40,serial,0.4737,2.1238
48,40,parallel,0.468,2.3153
48,40,broadcast,0.4056,0.2406
48,41,serial,0.4854,1.8739
48,41,parallel,0.4829,1.8004
48,41,broadcast,0.396,0.219
48,42,serial,0.5097,2.2599
48,42,parallel,0.4725,2.1403
48,42,broadcast,0.4249,0.2502
48,43,serial,0.4783,2.2153
48,43,parallel,0.5053,1.9636
48,43,broadcast,0.3985,0.2138
48,44,serial,0.4936,2.2649
48,44,parallel,0.5098,2.0796
48,44,broadcast,0.437,0.2661
48,45,serial,0.505,2.1164
48,45,parallel,0.502,2.1548
48,45,broadcast,0.4347,0.2658
48,46,serial,0.5189,2.1039
48,46,parallel,0.5109,1.9957
48,46,broadcast,0.4074,0.2237
48,47,serial,0.5029,2.0144
48,47,parallel,0.4998,1.9177
48,47,broadcast,0.4959,0.26
48,48,serial,0.5389,1.9378
48,48,parallel,0.5051,2.0324
48,48,broadcast,0.4374,0.2641
48,49,serial,0.535,2.2296
48,49,parallel,0.5237,2.0789
48,49,broadcast,0.4133,0.2522
48,50,serial,0.5372,2.1188
48,50,parallel,0.5303,2.1679
48,50,broadcast,0.4235,0.2338
48,51,serial,0.5976,2.0023
48,51,parallel,0.5694,2.2636
48,51,broadcast,0.4174,0.2515
48,52,serial,0.5348,2.1931
48,52,parallel,0.5465,2.1618
48,52,broadcast,0.4324,0.2791
48,53,serial,0.5549,2.1853
48,53,parallel,0.6273,2.4204
48,53,broadcast,0.4122,0.2604
48,54,serial,0.5349,2.103
48,54,parallel,0.5832,2.3123
48,54,broadcast,0.4288,0.2444
48,55,serial,0.544,2.1469
48,55,parallel,0.5278,2.0946
48,55,broadcast,0.4226,0.2535
48,56,serial,0.5595,2.1591
48,56,parallel,0.5337,1.8684
48,56,broadcast,0.4337,0.3126
48,57,serial,0.5888,2.1848
48,57,parallel,0.56,2.1901
48,57,broadcast,0.5092,0.2714
48,58,serial,0.5708,2.3776
48,58,parallel,0.5859,2.4102
48,58,broadcast,0.4668,0.2529
48,59,serial,0.57,2.2267
48,59,parallel,0.5933,2.3166
48,59,broadcast,0.4513,0.2759
48,60,serial,0.5936,2.2692
48,60,parallel,0.5936,2.4246
48,60,broadcast,0.5012,0.2957
48,61,serial,0.5959,2.2498
48,61,parallel,0.59,2.3715
48,61,broadcast,0.4527,0.2704
48,62,serial,0.5975,2.2906
48,62,parallel,0.6147,2.2202
48,62,broadcast,0.4542,0.2775
48,63,serial,0.6187,2.2225
48,63,parallel,0.579,2.4471
48,63,broadcast,0.4847,0.3179
48,64,serial,0.6253,2.3552
48,64,parallel,0.6027,2.6515
48,64,broadcast,0.5773,0.343
